Product_Name,Quantity,Total_Price,Purchase_Date
Lolipoppppp,1,3.0,2025-10-07
Lolipoppppp,1,3.0,2025-10-07
Paper Plate,1,15.0,2025-10-07
Paper Plate,1,15.0,2025-10-07
Paper Plate,1,15.0,2025-10-07
Clinic Plus,1,1.0,2025-10-07
Paper Plate,1,15.0,2025-10-07
Paper Plate,1,15.0,2025-10-07
Paper Plate,1,15.0,2025-10-07
